reward,health,moisture,pests,yield
19.4075,0.8355,0.6849999999999999,0.15000000000000002,26.736
19.94,0.8710000000000001,0.6699999999999999,0.15250000000000002,27.872000000000003
20.472500000000004,0.9065000000000001,0.6549999999999999,0.15250000000000002,29.008000000000003
21.005000000000003,0.9420000000000002,0.6399999999999999,0.15250000000000002,30.144000000000005
21.5375,0.9775000000000001,0.6249999999999999,0.15250000000000002,31.280000000000005
21.695,0.988,0.6099999999999999,0.15500000000000003,31.616
21.8075,0.9955,0.5949999999999999,0.15500000000000003,31.856
21.8075,0.9955,0.5799999999999998,0.15500000000000003,31.856
21.8075,0.9955,0.5649999999999998,0.15500000000000003,31.856
21.8075,0.9955,0.5499999999999998,0.15500000000000003,31.856
21.8075,0.9955,0.5349999999999998,0.15500000000000003,31.856
21.8075,0.9955,0.5199999999999998,0.15500000000000003,31.856
21.8075,0.9955,0.5049999999999998,0.15500000000000003,31.856
21.8075,0.9955,0.48999999999999977,0.15500000000000003,31.856
21.8075,0.9955,0.47499999999999976,0.15750000000000003,31.856
21.806375,0.995425,0.45999999999999974,0.16000000000000003,31.8536
21.806375,0.995425,0.44499999999999973,0.16000000000000003,31.8536
21.806375,0.995425,0.4299999999999997,0.16000000000000003,31.8536
21.806375,0.995425,0.4149999999999997,0.16000000000000003,31.8536
16.806375,0.995425,0.3999999999999997,0.16000000000000003,31.8536
16.806375,0.995425,0.3849999999999997,0.16250000000000003,31.8536
16.806375,0.995425,0.36999999999999966,0.16250000000000003,31.8536
16.806375,0.995425,0.35499999999999965,0.16250000000000003,31.8536
16.806375,0.995425,0.33999999999999964,0.16250000000000003,31.8536
16.806375,0.995425,0.3249999999999996,0.16250000000000003,31.8536
16.806375,0.995425,0.3099999999999996,0.16250000000000003,31.8536
16.73775,0.99085,0.2949999999999996,0.16250000000000003,31.7072
16.669125,0.986275,0.2799999999999996,0.16500000000000004,31.5608
16.599375000000002,0.981625,0.26499999999999957,0.16750000000000004,31.412
16.5285,0.9769,0.24999999999999956,0.17,31.2608
16.457625,0.972175,0.23499999999999954,0.17,31.1096
16.385625,0.9673750000000001,0.21999999999999953,0.17250000000000001,30.956000000000003
16.313625000000002,0.962575,0.20499999999999952,0.17500000000000002,30.8024
14.241624999999999,0.957775,0.1899999999999995,0.17500000000000002,30.6488
14.169624999999996,0.9529749999999999,0.1749999999999995,0.17500000000000002,30.495199999999997
14.097625,0.948175,0.15999999999999948,0.17500000000000002,30.3416
14.244375000000002,0.9433750000000001,0.15749999999999947,0.17500000000000002,30.188000000000002
14.172374999999999,0.9385749999999999,0.14249999999999946,0.17500000000000002,30.034399999999998
14.556625,0.935025,0.16499999999999945,0.17750000000000002,29.9208
14.60275,0.93185,0.14999999999999947,0.16500000000000004,29.8192
14.554000000000002,0.9286000000000001,0.10499999999999945,0.1675,29.715200000000003
14.50525,0.92535,0.05999999999999944,0.17,29.6112
14.2065,0.9221,0.05812499999999991,0.17,29.5072
14.13975,0.91765,0.052499999999999915,0.17,29.3648
14.134749999999999,0.9131499999999999,0.057968749999999916,0.17,29.220799999999997
14.06725,0.90865,0.050937499999999906,0.17,29.0768
13.8935,0.9054,0.05499999999999991,0.17,28.9728
13.945250000000001,0.9026000000000001,0.0465624999999999,0.15500000000000003,28.883200000000002
13.822,0.89855,0.0381249999999999,0.15750000000000003,28.7536
14.08,0.897,0.0643749999999999,0.15750000000000003,28.704
14.158375,0.895975,0.0606249999999999,0.14,28.6712
14.317999999999998,0.8962,0.0814062499999999,0.14250000000000002,28.6784
14.321375,0.896425,0.0771874999999999,0.14500000000000002,28.6856
14.367375,0.8953249999999999,0.09843749999999996,0.14750000000000002,28.650399999999998
14.350875000000002,0.894225,0.09515624999999997,0.14750000000000002,28.6152
14.552,0.89305,0.11640624999999995,0.15250000000000002,28.5776
14.533249999999999,0.8917999999999999,0.11265624999999996,0.15500000000000003,28.537599999999998
14.513374999999996,0.8904749999999999,0.10890624999999995,0.1575,28.495199999999997
14.491624999999999,0.889025,0.10531249999999995,0.1575,28.4488
14.677374999999998,0.886825,0.12656249999999994,0.1575,28.3784
14.581875,0.884625,0.12281249999999995,0.1575,28.308
14.762749999999997,0.8820999999999999,0.14359374999999994,0.1625,28.227199999999996
14.701875000000001,0.880125,0.15140624999999994,0.165,28.164
14.868749999999999,0.87875,0.14671874999999995,0.14875000000000002,28.12
14.848125,0.877375,0.14218749999999994,0.14875000000000002,28.076
14.8275,0.8759999999999999,0.13796874999999995,0.14875000000000002,28.031999999999996
14.744374999999998,0.874625,0.13374999999999992,0.15375,27.988
14.942499999999999,0.87325,0.15406249999999994,0.15375,27.944
14.903125,0.870625,0.14937499999999992,0.15625,27.86
14.987625000000001,0.8679250000000001,0.16921874999999992,0.16125,27.773600000000002
14.948250000000002,0.8653,0.16406249999999992,0.16625,27.6896
14.90775,0.8626,0.15890624999999992,0.16875,27.6032
14.867249999999999,0.8598999999999999,0.15374999999999991,0.16875,27.516799999999996
14.889249999999997,0.8572,0.17328124999999991,0.16875,27.4304
14.848750000000003,0.8545,0.1681249999999999,0.16875,27.344
14.964500000000001,0.8518,0.1874999999999999,0.17125,27.2576
14.924,0.8491,0.1818749999999999,0.17375000000000002,27.1712
15.046,0.8489,0.2128124999999999,0.17375000000000002,27.1648
15.043,0.8487,0.20624999999999988,0.17625000000000002,27.1584
15.183749999999996,0.8497499999999999,0.2367187499999999,0.17625000000000002,27.191999999999997
